N_features,Depth,Learning Rate,N_trees,AUC_vl,Pr_vl
34,9,0.001,1000,0.986068095,0.265300896
13,7,0.01,900,0.986552926,0.265232975
15,4,0.01,900,0.985944907,0.265232975
14,10,0.01,800,0.986471229,0.265232975
26,7,0.1,200,0.98557969,0.265232975
11,6,0.01,1000,0.986318577,0.265232975
11,7,0.01,800,0.986240434,0.265232975
28,4,0.1,100,0.986731897,0.265232975
29,5,0.01,600,0.986667759,0.265232975
28,9,0.01,300,0.986654057,0.265232975
34,2,0.1,300,0.986059072,0.265232975
34,4,0.01,600,0.98634995,0.265232975
14,5,0.1,300,0.985690773,0.265165088
15,5,0.1,800,0.985399248,0.265165088
14,8,0.01,700,0.986710857,0.265165088
22,2,0.1,400,0.986398623,0.265165088
11,8,0.01,600,0.986090426,0.265165088
28,8,0.1,100,0.986396091,0.265165088
28,2,0.1,500,0.986254088,0.265165088
33,9,0.01,200,0.986405835,0.265165088
10,2,0.1,800,0.986235657,0.265097236
16,8,0.01,500,0.986332128,0.265097236
19,4,0.01,1000,0.986328866,0.265097236
17,6,0.01,1000,0.986661653,0.265097236
17,8,0.01,700,0.98690354,0.265097236
21,10,0.01,300,0.98617746,0.265097236
29,4,0.01,1000,0.986775273,0.265097236
30,4,0.01,600,0.986131946,0.265097236
33,3,0.01,900,0.986378776,0.265097236
13,4,0.1,800,0.98569273,0.265097236
14,2,0.1,400,0.986278673,0.265029419
19,6,0.1,300,0.98611635,0.265029419
14,5,0.01,1000,0.986443786,0.265029419
21,3,0.1,100,0.985983773,0.265029419
19,5,0.01,800,0.986613164,0.265029419
20,4,0.01,900,0.986540592,0.265029419
22,9,0.01,300,0.986094443,0.265029419
30,2,0.1,300,0.986391918,0.265029419
10,5,0.1,300,0.986042487,0.265029419
31,3,0.1,100,0.986307942,0.265029419
32,7,0.01,300,0.986328325,0.265029419
33,4,0.01,700,0.986509366,0.265029419
19,1,0.1,500,0.985951188,0.264961637
19,1,0.1,400,0.985824669,0.264961637
15,4,0.1,1000,0.985911654,0.264961637
13,9,0.01,800,0.986637998,0.264961637
11,1,0.1,500,0.985779039,0.264961637
11,8,0.1,500,0.985554131,0.264961637
10,4,0.1,500,0.986126118,0.264961637
26,3,0.01,900,0.986268554,0.264961637
27,5,0.1,400,0.986211223,0.264961637
32,7,0.1,200,0.986145678,0.264961637
33,5,0.01,500,0.986520521,0.264961637
18,5,0.1,600,0.985790681,0.264893889
15,6,0.1,300,0.9860977,0.264893889
19,4,0.01,800,0.986206841,0.264893889
24,8,0.1,300,0.985183557,0.264893889
25,3,0.1,100,0.985917755,0.264893889
23,8,0.01,300,0.986259059,0.264893889
25,5,0.01,800,0.98683893,0.264893889
25,10,0.01,300,0.986661054,0.264893889
13,2,0.1,600,0.986158966,0.264893889
18,4,0.01,1000,0.986589563,0.264826176
18,6,0.01,800,0.986632174,0.264826176
16,8,0.01,700,0.986718293,0.264826176
21,8,0.01,400,0.986489796,0.264826176
24,9,0.1,600,0.985040624,0.264826176
12,5,0.1,200,0.986281375,0.264826176
33,4,0.01,600,0.986326733,0.264826176
34,6,0.1,700,0.984354247,0.264826176
35,5,0.01,500,0.98662415,0.264826176
35,9,0.01,200,0.986504053,0.264826176
18,7,0.01,700,0.986655445,0.264758497
14,4,0.01,1000,0.986166309,0.264758497
12,7,0.01,700,0.986294065,0.264758497
19,6,0.01,500,0.986343683,0.264758497
10,9,0.01,800,0.986428779,0.264758497
21,4,0.01,800,0.986454859,0.264758497
22,4,0.1,800,0.984735772,0.264758497
23,4,0.01,1000,0.986550589,0.264758497
24,5,0.01,500,0.986219511,0.264758497
24,4,0.01,800,0.986467641,0.264758497
24,10,0.01,300,0.98661483,0.264758497
31,6,0.1,200,0.986631887,0.264758497
30,6,0.1,700,0.984444417,0.264758497
35,4,0.01,500,0.986108539,0.264758497
34,10,0.1,500,0.985159367,0.264758497
31,9,0.001,1000,0.985841712,0.264758497
10,2,0.1,1000,0.986388485,0.264690853
10,8,0.01,800,0.986366208,0.264690853
22,7,0.1,100,0.986716179,0.264690853
23,4,0.01,800,0.986390413,0.264690853
28,2,0.1,300,0.986468911,0.264690853
10,5,0.1,1000,0.984539388,0.264690853
30,8,0.01,300,0.98652262,0.264690853
13,4,0.1,600,0.986167765,0.264690853
13,6,0.1,700,0.985259811,0.264690853
35,6,0.01,500,0.986845114,0.264690853
18,7,0.1,100,0.986127023,0.264623244
14,7,0.1,300,0.985215369,0.264623244
13,8,0.01,800,0.986569438,0.264623244
16,6,0.1,200,0.985954319,0.264623244
14,8,0.01,500,0.986118,0.264623244
15,8,0.01,700,0.986582327,0.264623244
11,4,0.1,200,0.986375869,0.264623244
22,6,0.01,500,0.986202239,0.264623244
23,3,0.01,1000,0.98619143,0.264623244
30,1,0.1,300,0.985851309,0.264623244
33,6,0.1,500,0.98515181,0.264623244
19,5,0.1,1000,0.985413096,0.264555669
16,1,0.1,500,0.985993225,0.264555669
17,4,0.1,500,0.986334548,0.264555669
17,7,0.1,300,0.985589769,0.264555669
20,3,0.1,200,0.985952732,0.264555669
22,3,0.01,1000,0.98615714,0.264555669
21,4,0.01,1000,0.986433395,0.264555669
24,4,0.01,1000,0.986774669,0.264555669
32,1,0.1,700,0.985914732,0.264555669
30,3,0.01,900,0.986311599,0.264555669
32,8,0.1,100,0.98651574,0.264555669
31,8,0.01,200,0.986222238,0.264555669
33,7,0.01,300,0.986439199,0.264555669
33,5,0.1,800,0.985464175,0.264555669
15,7,0.1,200,0.985711136,0.264488129
17,5,0.1,1000,0.982852857,0.264488129
22,4,0.1,100,0.986320817,0.264488129
21,4,0.01,700,0.986036454,0.264488129
25,1,0.1,600,0.985988209,0.264488129
15,10,0.01,800,0.986684811,0.264488129
26,3,0.01,700,0.985744929,0.264488129
28,5,0.01,600,0.986578149,0.264488129
27,7,0.01,400,0.986559023,0.264488129
30,7,0.1,300,0.98429083,0.264488129
31,5,0.01,500,0.986365911,0.264488129
17,4,0.1,300,0.98615954,0.264420623
12,8,0.01,700,0.986331251,0.264420623
22,6,0.1,1000,0.98449125,0.264420623
13,1,0.1,900,0.985987075,0.264420623
16,7,0.01,500,0.986020897,0.264353151
26,5,0.1,800,0.984684147,0.264353151
28,4,0.01,600,0.98624934,0.264353151
28,6,0.1,500,0.986124365,0.264353151
33,1,0.1,500,0.986116545,0.264353151
32,7,0.01,400,0.986639356,0.264353151
13,3,0.1,200,0.986118653,0.264353151
17,1,0.1,800,0.986100101,0.264285714
14,8,0.01,600,0.986314112,0.264285714
20,4,0.01,1000,0.986494315,0.264285714
22,5,0.1,400,0.986351522,0.264285714
10,9,0.01,900,0.986438064,0.264285714
22,4,0.01,900,0.986433521,0.264285714
22,7,0.01,500,0.986557747,0.264285714
24,6,0.01,600,0.986682016,0.264285714
25,4,0.01,700,0.986185679,0.264285714
27,2,0.1,500,0.986516222,0.264285714
21,10,0.01,500,0.986901807,0.264285714
28,4,0.01,900,0.98676608,0.264285714
29,7,0.1,300,0.986055454,0.264285714
30,4,0.01,700,0.986409847,0.264285714
31,4,0.01,700,0.986502972,0.264285714
12,5,0.1,600,0.986174611,0.264285714
10,6,0.1,900,0.985287877,0.264285714
33,10,0.01,100,0.986029121,0.264285714
13,1,0.1,800,0.986054062,0.264285714
33,10,0.001,800,0.986220592,0.264285714
19,5,0.1,800,0.984932935,0.264218312
20,4,0.1,100,0.986215552,0.264218312
11,3,0.1,400,0.98591329,0.264218312
28,5,0.01,500,0.986326971,0.264218312
28,9,0.01,200,0.986225855,0.264218312
28,6,0.1,900,0.985137221,0.264218312
34,5,0.01,400,0.985986344,0.264218312
18,10,0.01,300,0.985993965,0.264150943
17,5,0.01,700,0.986175604,0.264150943
13,10,0.01,900,0.986408191,0.264150943
11,8,0.01,700,0.986248693,0.264150943
30,9,0.1,300,0.984968549,0.264150943
33,8,0.01,200,0.986276443,0.264150943
35,4,0.01,600,0.986260525,0.264150943
18,4,0.01,900,0.986265501,0.264083609
17,2,0.1,500,0.98642313,0.264083609
15,6,0.01,700,0.986371491,0.264083609
10,7,0.01,800,0.986309418,0.264083609
14,9,0.01,600,0.98667702,0.264083609
24,4,0.01,700,0.98621285,0.264083609
23,7,0.01,400,0.986186546,0.264083609
23,6,0.01,500,0.986469204,0.264083609
25,8,0.1,100,0.986442189,0.264083609
17,4,0.01,800,0.986044075,0.26401631
11,3,0.1,900,0.984933553,0.26401631
20,8,0.1,300,0.984431085,0.26401631
15,10,0.01,500,0.986417136,0.26401631
12,4,0.1,200,0.985868459,0.26401631
19,9,0.1,100,0.98588592,0.263949045
11,1,0.1,600,0.985879254,0.263949045
21,2,0.1,200,0.98576687,0.263949045
34,3,0.01,1000,0.986447983,0.263949045
15,6,0.01,900,0.986474983,0.263881814
14,9,0.01,500,0.986445364,0.263881814
17,6,0.01,600,0.986333574,0.263881814
22,6,0.1,700,0.985463786,0.263881814
24,8,0.01,300,0.98642873,0.263881814
26,10,0.01,200,0.986220222,0.263881814
27,3,0.01,1000,0.986430142,0.263881814
29,3,0.01,900,0.986289517,0.263881814
31,2,0.1,100,0.985779531,0.263881814
31,5,0.1,700,0.984248165,0.263881814
31,5,0.1,800,0.985764845,0.263881814
34,3,0.01,900,0.986373035,0.263881814
26,10,0.1,900,0.985027126,0.263881814
16,2,0.1,200,0.985916601,0.263814617
35,10,0.001,200,0.985640424,0.263814617
20,6,0.01,600,0.98646599,0.263814617
22,1,0.1,600,0.98606158,0.263814617
21,6,0.01,500,0.986325291,0.263814617
21,6,0.01,700,0.986612424,0.263814617
28,5,0.01,700,0.986632121,0.263814617
13,8,0.1,100,0.986197039,0.263814617
12,5,0.01,1000,0.986241505,0.263814617
31,10,0.01,900,0.986692982,0.263814617
19,4,0.01,900,0.986344262,0.263747454
11,3,0.1,500,0.986180469,0.263747454
22,6,0.01,600,0.98649002,0.263747454
28,1,0.1,300,0.985795555,0.263747454
31,4,0.01,600,0.986289166,0.263747454
13,6,0.1,200,0.986181486,0.263747454
35,6,0.01,400,0.986436219,0.263747454
14,7,0.1,700,0.984001817,0.263680326
16,1,0.1,800,0.98607836,0.263680326
10,1,0.1,800,0.985755189,0.263680326
14,6,0.01,900,0.986548184,0.263680326
17,4,0.01,900,0.98627004,0.263680326
11,5,0.1,700,0.985776468,0.263680326
23,2,0.1,300,0.986335775,0.263680326
24,6,0.01,500,0.986315124,0.263680326
24,7,0.01,500,0.986710156,0.263680326
28,3,0.1,100,0.986260238,0.263680326
26,4,0.01,1000,0.986513066,0.263680326
30,8,0.1,200,0.98583135,0.263680326
30,9,0.01,200,0.986340391,0.263680326
32,8,0.1,300,0.98425057,0.263680326
35,5,0.1,500,0.985076335,0.263680326
18,6,0.1,200,0.986216273,0.263613232
18,9,0.01,300,0.986121443,0.263613232
10,7,0.01,700,0.985906488,0.263613232
11,4,0.1,400,0.986001902,0.263613232
20,8,0.01,400,0.986369261,0.263613232
20,7,0.01,500,0.986512239,0.263613232
12,7,0.1,100,0.986625615,0.263613232
31,6,0.01,300,0.986056652,0.263613232
32,5,0.01,400,0.986022587,0.263613232
32,10,0.1,200,0.984736127,0.263613232
26,10,0.01,1000,0.986819613,0.263613232
15,5,0.1,200,0.984596281,0.263546171
17,4,0.1,900,0.985095233,0.263546171
17,5,0.01,800,0.986314676,0.263546171
15,10,0.01,400,0.986183765,0.263546171
32,2,0.1,200,0.986050317,0.263546171
30,5,0.01,500,0.98620893,0.263546171
12,5,0.1,800,0.985193939,0.263546171
11,10,0.01,900,0.986382408,0.263546171
13,10,0.01,500,0.9862909,0.263479145
16,6,0.01,700,0.986407003,0.263479145
10,4,0.1,300,0.986067618,0.263479145
25,4,0.01,800,0.986467436,0.263479145
25,5,0.1,700,0.985160039,0.263479145
28,3,0.01,1000,0.986335502,0.263479145
32,4,0.01,600,0.986331777,0.263479145
35,6,0.1,500,0.982181507,0.263479145
16,3,0.1,200,0.986208789,0.263412154
11,7,0.1,100,0.985925916,0.263412154
23,3,0.1,200,0.986329591,0.263412154
23,6,0.1,700,0.985219697,0.263412154
29,5,0.1,1000,0.984541638,0.263412154
32,9,0.1,300,0.985242106,0.263412154
35,9,0.1,100,0.986373293,0.263412154
32,10,0.001,1000,0.986298505,0.263412154
18,5,0.01,700,0.986266943,0.263345196
11,4,0.1,300,0.986152164,0.263345196
17,7,0.01,500,0.986197954,0.263345196
20,9,0.01,300,0.986264041,0.263345196
10,4,0.1,800,0.985151654,0.263345196
32,1,0.1,800,0.98600103,0.263345196
29,7,0.01,400,0.986612278,0.263345196
34,5,0.1,600,0.986120693,0.263345196
18,1,0.1,300,0.985867412,0.263278272
16,1,0.1,600,0.98581027,0.263278272
17,1,0.1,600,0.985913918,0.263278272
19,6,0.01,700,0.986517911,0.263278272
21,5,0.1,1000,0.985362261,0.263278272
27,8,0.01,300,0.985995859,0.263278272
30,3,0.01,1000,0.986451173,0.263278272
35,3,0.01,800,0.986115152,0.263278272
35,3,0.01,900,0.986518033,0.263278272
15,1,0.1,700,0.986051603,0.263211382
17,4,0.1,400,0.985997461,0.263211382
22,6,0.1,600,0.982195911,0.263211382
25,6,0.1,500,0.985372043,0.263211382
35,10,0.001,600,0.986042551,0.263211382
27,6,0.01,500,0.98656749,0.263211382
27,6,0.1,800,0.985056391,0.263211382
27,9,0.01,300,0.986516908,0.263211382
32,1,0.1,400,0.985567258,0.263211382
32,1,0.1,500,0.985808746,0.263211382
17,2,0.1,200,0.986100948,0.263144526
20,1,0.1,300,0.985973801,0.263144526
20,5,0.1,200,0.986098255,0.263144526
22,3,0.01,900,0.985948184,0.263144526
10,10,0.01,700,0.986356207,0.263144526
26,3,0.1,200,0.986277324,0.263144526
27,2,0.1,200,0.985993921,0.263144526
29,7,0.01,300,0.986372602,0.263144526
13,5,0.1,100,0.985965387,0.263144526
35,7,0.1,200,0.984743339,0.263144526
13,5,0.1,200,0.986138714,0.263144526
18,5,0.01,600,0.986041436,0.263077704
19,6,0.01,600,0.98644755,0.263077704
16,8,0.01,600,0.986878858,0.263077704
22,4,0.01,1000,0.986639025,0.263077704
11,6,0.01,900,0.986307991,0.263077704
28,8,0.01,300,0.986572861,0.263077704
30,6,0.1,400,0.985206268,0.263077704
12,8,0.1,100,0.986237625,0.263077704
13,4,0.1,300,0.986389172,0.263077704
19,2,0.1,200,0.9860897,0.263010916
18,7,0.01,400,0.985959505,0.263010916
18,5,0.1,800,0.985180957,0.263010916
19,4,0.1,100,0.985917668,0.263010916
14,7,0.01,800,0.986474867,0.263010916
10,10,0.01,600,0.986127393,0.263010916
22,5,0.01,800,0.98663178,0.263010916
11,9,0.01,700,0.986431535,0.263010916
27,10,0.01,200,0.986313016,0.263010916
12,2,0.1,300,0.985983822,0.263010916
29,9,0.001,900,0.985742845,0.263010916
32,10,0.001,900,0.986175658,0.263010916
14,5,0.1,100,0.986008183,0.262944162
16,4,0.1,600,0.986434802,0.262944162
16,5,0.01,800,0.986299767,0.262944162
10,9,0.01,700,0.986122665,0.262944162
11,5,0.1,900,0.985568836,0.262944162
34,8,0.1,300,0.983928564,0.262944162
20,5,0.1,700,0.985070414,0.262877442
19,9,0.01,300,0.985950867,0.262877442
24,4,0.01,900,0.986592392,0.262877442
30,9,0.1,100,0.986504233,0.262877442
30,7,0.01,300,0.986230335,0.262877442
32,10,0.01,200,0.986333852,0.262877442
19,5,0.1,100,0.986388295,0.262810756
18,10,0.01,400,0.986581431,0.262810756
14,10,0.01,300,0.985887313,0.262810756
17,7,0.1,100,0.986138934,0.262810756
20,6,0.1,600,0.98562532,0.262810756
25,7,0.1,200,0.986113589,0.262810756
29,5,0.1,700,0.985695477,0.262810756
30,8,0.01,200,0.986045837,0.262810756
31,4,0.01,800,0.986640481,0.262810756
18,8,0.01,400,0.986228826,0.262744103
11,2,0.1,200,0.985796982,0.262744103
23,4,0.01,700,0.986157573,0.262744103
26,7,0.1,400,0.98499345,0.262744103
11,7,0.01,700,0.986303574,0.262744103
11,7,0.01,900,0.986402222,0.262744103
12,6,0.1,300,0.986067077,0.262744103
18,6,0.1,300,0.985862499,0.262677485
14,6,0.01,800,0.986326314,0.262677485
12,7,0.01,900,0.986432046,0.262677485
14,10,0.01,500,0.986257642,0.262677485
10,9,0.01,500,0.985653094,0.262677485
20,4,0.01,700,0.986027052,0.262677485
16,10,0.01,400,0.986438566,0.262677485
22,4,0.01,800,0.986327059,0.262677485
23,7,0.1,300,0.985327124,0.262677485
28,3,0.01,900,0.986102789,0.262677485
27,9,0.01,200,0.98601221,0.262677485
33,3,0.01,800,0.986153021,0.262677485
34,9,0.001,800,0.98583505,0.262677485
18,3,0.1,200,0.986452814,0.2626109
14,5,0.1,1000,0.985782141,0.2626109
16,8,0.1,200,0.985572123,0.2626109
16,6,0.1,700,0.985108035,0.2626109
17,7,0.01,400,0.986037988,0.2626109
21,1,0.1,1000,0.985917113,0.2626109
20,6,0.01,500,0.986341039,0.2626109
22,9,0.1,100,0.985948471,0.2626109
25,1,0.1,500,0.98593361,0.2626109
29,7,0.1,600,0.985680616,0.2626109
32,5,0.01,500,0.986343449,0.2626109
29,10,0.001,1000,0.986137283,0.2626109
14,4,0.1,100,0.985884357,0.262544349
10,7,0.1,300,0.985397592,0.262544349
10,6,0.01,700,0.985879239,0.262544349
21,1,0.1,700,0.985903279,0.262544349
21,5,0.01,600,0.986356898,0.262544349
21,7,0.01,500,0.986541742,0.262544349
26,2,0.1,200,0.985958774,0.262544349
27,3,0.01,700,0.98578606,0.262544349
32,1,0.1,600,0.985930922,0.262544349
35,5,0.01,400,0.986249155,0.262544349
34,6,0.1,900,0.984361581,0.262544349
34,10,0.001,1000,0.986158586,0.262544349
14,1,0.1,1000,0.986015823,0.262477831
15,6,0.1,600,0.984697631,0.262477831
14,8,0.01,900,0.986427858,0.262477831
21,4,0.1,900,0.985454612,0.262477831
23,1,0.1,500,0.985932018,0.262477831
25,9,0.1,400,0.985167245,0.262477831
12,6,0.1,100,0.98594982,0.262477831
35,7,0.1,800,0.983588832,0.262477831
15,6,0.1,400,0.984935661,0.262411348
15,5,0.01,800,0.986277787,0.262411348
22,1,0.1,400,0.985900153,0.262411348
11,7,0.1,200,0.985496902,0.262411348
25,1,0.1,400,0.985885555,0.262411348
25,3,0.01,900,0.986026399,0.262411348
31,3,0.01,800,0.985927601,0.262411348
32,6,0.01,400,0.986332479,0.262411348
30,9,0.1,700,0.985327163,0.262411348
29,9,0.1,900,0.984752439,0.262411348
35,9,0.1,500,0.985069703,0.262411348
18,3,0.1,300,0.986320257,0.262344897
18,5,0.1,700,0.98558171,0.262344897
16,5,0.1,800,0.985409775,0.262344897
23,1,0.1,900,0.986097452,0.262344897
20,10,0.01,400,0.986768344,0.262344897
25,10,0.01,200,0.986237152,0.262344897
29,1,0.1,300,0.985745548,0.262344897
27,5,0.1,1000,0.985108473,0.262344897
28,6,0.01,500,0.986598527,0.262344897
33,2,0.1,100,0.985778528,0.262344897
31,10,0.001,900,0.98605561,0.262344897
18,3,0.01,1000,0.985790102,0.262278481
21,5,0.01,500,0.98592336,0.262278481
21,6,0.01,600,0.986500533,0.262278481
26,3,0.01,800,0.985944751,0.262278481
11,7,0.01,600,0.986046509,0.262278481
25,9,0.01,300,0.986458778,0.262278481
26,8,0.01,400,0.986573821,0.262278481
27,8,0.1,300,0.98497112,0.262278481
34,10,0.1,600,0.985252283,0.262278481
15,3,0.1,300,0.98622737,0.262212098
16,7,0.1,100,0.986307095,0.262212098
21,5,0.1,700,0.984712248,0.262212098
22,7,0.01,400,0.986233077,0.262212098
25,5,0.1,1000,0.983704118,0.262212098
35,10,0.001,900,0.986287832,0.262212098
30,10,0.01,200,0.986536244,0.262212098
35,3,0.01,600,0.985680757,0.262212098
29,10,0.1,900,0.98473454,0.262212098
13,5,0.01,700,0.985835109,0.262145749
16,6,0.1,600,0.985344108,0.262145749
10,2,0.1,300,0.985914074,0.262145749
19,5,0.01,500,0.985624171,0.262145749
15,9,0.01,500,0.986376083,0.262145749
23,4,0.01,600,0.985865269,0.262145749
11,6,0.01,800,0.986055075,0.262145749
29,3,0.1,100,0.986308823,0.262145749
35,10,0.001,800,0.986194127,0.262145749
29,6,0.1,500,0.985454067,0.262145749
32,9,0.1,700,0.984980303,0.262145749
14,6,0.1,700,0.985453102,0.262079433
18,4,0.01,800,0.986283717,0.262079433
18,6,0.01,500,0.986293865,0.262079433
14,9,0.1,300,0.985529833,0.262079433
10,1,0.1,700,0.985710348,0.262079433
10,5,0.01,1000,0.985912482,0.262079433
17,5,0.01,900,0.986577458,0.262079433
10,3,0.1,200,0.986179227,0.262079433
24,3,0.01,900,0.985937749,0.262079433
25,4,0.01,600,0.986018565,0.262079433
26,4,0.01,700,0.986182426,0.262079433
26,4,0.01,800,0.986488695,0.262079433
29,7,0.01,200,0.985590767,0.262079433
32,6,0.01,300,0.986084977,0.262079433
19,3,0.01,1000,0.986038962,0.262013151
24,7,0.1,400,0.985370237,0.262013151
27,3,0.01,800,0.986014241,0.262013151
12,1,0.1,800,0.985629824,0.262013151
13,8,0.01,500,0.985961652,0.261946903
16,5,0.1,900,0.984545548,0.261946903
20,7,0.1,700,0.984625458,0.261946903
26,3,0.01,1000,0.986306657,0.261946903
10,5,0.1,900,0.985413934,0.261946903
33,3,0.1,100,0.986259162,0.261946903
13,4,0.1,200,0.986055342,0.261946903
13,5,0.1,1000,0.985772655,0.261946903
14,4,0.01,900,0.985842934,0.261880688
12,9,0.01,600,0.986231879,0.261880688
16,10,0.01,300,0.986006864,0.261880688
11,4,0.1,1000,0.984909362,0.261880688
25,1,0.1,300,0.985492174,0.261880688
23,5,0.1,900,0.983207781,0.261880688
25,3,0.01,1000,0.986098621,0.261880688
27,5,0.01,500,0.98622849,0.261880688
28,6,0.01,400,0.986230837,0.261880688
30,5,0.01,400,0.985953184,0.261880688
12,7,0.1,500,0.985133735,0.261880688
33,7,0.1,300,0.985885847,0.261880688
34,8,0.01,200,0.986241681,0.261880688
14,1,0.1,700,0.985927377,0.261814506
13,5,0.01,800,0.986025669,0.261814506
15,7,0.1,100,0.986039629,0.261814506
16,4,0.1,100,0.985634016,0.261814506
16,4,0.01,800,0.985946884,0.261814506
17,8,0.01,400,0.986178828,0.261814506
20,5,0.01,500,0.98581662,0.261814506
23,1,0.1,400,0.985890658,0.261814506
23,5,0.1,600,0.985753363,0.261814506
11,7,0.01,1000,0.986271252,0.261814506
26,9,0.01,200,0.986241617,0.261814506
28,4,0.01,500,0.985839155,0.261814506
27,4,0.01,600,0.985960255,0.261814506
28,7,0.1,400,0.985437638,0.261814506
14,7,0.1,400,0.985085568,0.261748358
16,4,0.01,900,0.986179544,0.261748358
16,9,0.01,400,0.986147689,0.261748358
12,9,0.01,800,0.986446566,0.261748358
23,5,0.1,800,0.985265488,0.261748358
10,4,0.1,200,0.985625393,0.261748358
28,7,0.1,300,0.985729659,0.261748358
31,6,0.1,800,0.985408636,0.261748358
33,6,0.01,300,0.985996935,0.261748358
14,6,0.1,100,0.986153279,0.261682243
13,4,0.01,900,0.985886056,0.261682243
14,7,0.01,500,0.985923886,0.261682243
16,5,0.1,500,0.985164256,0.261682243
19,7,0.01,400,0.9860748,0.261682243
23,6,0.1,100,0.986220704,0.261682243
24,7,0.01,400,0.986159453,0.261682243
25,5,0.1,800,0.985546213,0.261682243
26,7,0.01,300,0.985982308,0.261682243
28,5,0.1,900,0.985225979,0.261682243
12,7,0.1,300,0.985899072,0.261682243
34,9,0.01,200,0.986272946,0.261682243
31,10,0.001,700,0.986014611,0.261682243
13,5,0.01,1000,0.986419649,0.261616162
21,6,0.1,800,0.985094332,0.261616162
22,5,0.1,1000,0.985161227,0.261616162
25,6,0.01,400,0.986131123,0.261616162
30,4,0.01,800,0.986517332,0.261616162
26,10,0.1,600,0.984708577,0.261616162
35,8,0.01,200,0.98607777,0.261616162
10,6,0.01,1000,0.986196367,0.261550114
23,5,0.01,600,0.986197526,0.261550114
10,6,0.1,100,0.985967714,0.261550114
33,6,0.01,200,0.985384007,0.261550114
27,10,0.1,700,0.984981258,0.261550114
32,6,0.1,800,0.985341147,0.261550114
12,6,0.01,800,0.986238185,0.261550114
16,6,0.1,100,0.986461934,0.261484099
17,6,0.01,500,0.986133504,0.261484099
10,8,0.01,600,0.985957835,0.261484099
20,7,0.1,500,0.985236847,0.261484099
23,1,0.1,700,0.985996258,0.261484099
10,5,0.1,200,0.986021496,0.261484099
31,1,0.1,300,0.985766651,0.261484099
15,6,0.1,500,0.985315973,0.261418118
16,7,0.1,200,0.985098651,0.261418118
20,5,0.01,600,0.986130763,0.261418118
11,5,0.01,900,0.98592448,0.261418118
28,9,0.1,900,0.985280953,0.261418118
18,7,0.01,500,0.986343892,0.26135217
15,6,0.01,600,0.985971931,0.26135217
19,10,0.01,300,0.98609064,0.26135217
10,9,0.01,1000,0.986502515,0.26135217
13,5,0.1,400,0.985377658,0.26135217
32,10,0.001,600,0.986112673,0.26135217
14,8,0.1,100,0.986248483,0.261286255
16,9,0.01,500,0.986335536,0.261286255
25,9,0.1,100,0.986306725,0.261286255
24,6,0.1,800,0.9841731,0.261286255
26,8,0.01,300,0.986340289,0.261286255
28,5,0.1,600,0.985190564,0.261286255
29,7,0.1,200,0.985818431,0.261286255
13,5,0.1,600,0.985572746,0.261286255
29,10,0.001,800,0.985958443,0.261286255
34,10,0.001,900,0.98616663,0.261286255
17,10,0.1,300,0.985124581,0.261220373
10,4,0.1,400,0.985972404,0.261220373
28,2,0.1,200,0.986265268,0.261220373
27,9,0.01,100,0.985607104,0.261220373
33,3,0.01,700,0.98596638,0.261220373
31,10,0.01,200,0.986316663,0.261220373
35,1,0.1,300,0.98565549,0.261220373
14,5,0.01,800,0.986039824,0.261154525
20,2,0.01,1000,0.985303026,0.261154525
28,10,0.01,100,0.985888773,0.261154525
12,4,0.1,100,0.985915009,0.261154525
31,7,0.1,200,0.985972491,0.261154525
33,1,0.1,300,0.985618133,0.261154525
24,10,0.1,1000,0.984381447,0.261154525
32,9,0.001,900,0.985990235,0.261154525
27,1,0.1,200,0.985527686,0.261143289
18,6,0.01,600,0.986450058,0.26108871
17,3,0.1,100,0.985831554,0.26108871
13,10,0.01,600,0.98651105,0.26108871
21,3,0.01,1000,0.985969511,0.26108871
10,5,0.1,500,0.982027165,0.26108871
31,4,0.01,500,0.985835547,0.26108871
12,7,0.1,200,0.98531328,0.26108871
35,1,0.1,400,0.985871994,0.26108871
12,5,0.01,900,0.986167195,0.26108871
16,3,0.1,500,0.986258017,0.261022928
17,5,0.1,400,0.986214973,0.261022928
17,9,0.01,400,0.986281122,0.261022928
35,9,0.001,600,0.985698885,0.261022928
23,9,0.01,300,0.986391884,0.261022928
12,1,0.1,1000,0.985844677,0.261022928
34,3,0.01,800,0.986111816,0.261022928
13,7,0.1,200,0.985658519,0.261022928
13,4,0.01,800,0.985563188,0.260957179
22,6,0.01,400,0.985883753,0.260957179
25,8,0.1,300,0.985326832,0.260957179
29,8,0.01,200,0.986114782,0.260957179
30,9,0.01,100,0.98571583,0.260957179
32,3,0.1,100,0.986287462,0.260957179
10,8,0.1,200,0.985485814,0.260957179
14,1,0.1,600,0.985825136,0.260891463
14,6,0.1,300,0.985676798,0.260891463
10,1,0.1,900,0.985761173,0.260891463
23,2,0.01,1000,0.985277929,0.260891463
26,6,0.1,800,0.984261108,0.260891463
29,4,0.01,600,0.986082187,0.260891463
30,3,0.01,700,0.98586821,0.260891463
15,5,0.1,600,0.985307023,0.26082578
14,10,0.01,400,0.98615883,0.26082578
12,5,0.01,700,0.985689858,0.26082578
35,6,0.01,300,0.98606474,0.26082578
33,10,0.001,700,0.986122967,0.26082578
18,4,0.1,200,0.986045297,0.260760131
19,6,0.1,500,0.985025802,0.260760131
16,8,0.1,400,0.985247336,0.260760131
