N_features,Depth,Learning_rate,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
37,6,0.1,1000,-1.596282849,-1.669612217,10.41519016,10.79673922
17,7,0.1,1000,-1.584207706,-1.670898405,10.36674979,10.80194096
29,7,0.1,600,-1.59183942,-1.674073883,10.397365,10.81478358
39,6,0.1,1000,-1.600793305,-1.674252187,10.43328421,10.8155047
19,7,0.1,900,-1.578984003,-1.677156052,10.3457945,10.82724883
38,7,0.1,500,-1.613247634,-1.679472468,10.48324571,10.83661713
40,7,0.1,500,-1.61668187,-1.67961023,10.49702241,10.83717428
36,7,0.1,500,-1.610353636,-1.681135608,10.47163621,10.84334338
22,7,0.1,800,-1.592360289,-1.683369884,10.39945451,10.85237949
18,7,0.1,1000,-1.588055696,-1.683569632,10.3821863,10.85318733
26,7,0.1,700,-1.604983868,-1.685763212,10.45009497,10.86205885
38,6,0.1,1000,-1.62449688,-1.687790499,10.52837294,10.87025783
39,7,0.1,500,-1.605047568,-1.688917169,10.45035051,10.87481443
40,6,0.1,900,-1.617998886,-1.690649184,10.50230573,10.88181923
40,6,0.1,1000,-1.611972287,-1.692143897,10.47812956,10.88786432
35,6,0.1,1000,-1.611310288,-1.692794111,10.4754739,10.89049398
23,7,0.1,700,-1.624905487,-1.697386516,10.5300121,10.90906709
22,7,0.1,700,-1.620209185,-1.697504366,10.51117252,10.90954371
36,6,0.1,1000,-1.626687861,-1.697831027,10.53716223,10.91086483
24,7,0.1,700,-1.61147942,-1.697954946,10.47615238,10.911366
35,7,0.1,500,-1.628531735,-1.69829249,10.54455907,10.91273113
21,7,0.1,800,-1.616658331,-1.698510614,10.49692799,10.91361329
25,7,0.1,700,-1.619346613,-1.700566845,10.50771224,10.92192933
26,7,0.1,600,-1.634980476,-1.70592987,10.5704287,10.94361906
33,6,0.1,1000,-1.645590952,-1.706047412,10.61299344,10.94409444
18,7,0.1,900,-1.62278321,-1.710795745,10.52149842,10.96329817
