N_features,N_trees,R2_tr,R2_vl,MSE_tr,MSE_vl
23,400,-0.493204911,-0.705864329,5.990107396,6.899044057
37,500,-0.494035684,-0.705975792,5.993440107,6.89949485
28,800,-0.475631815,-0.706019703,5.919611559,6.89967244
23,700,-0.485915813,-0.706236641,5.960866615,6.900549804
19,300,-0.481346514,-0.70639941,5.942536518,6.901208093
39,800,-0.491378113,-0.706472893,5.982779053,6.90150528
31,400,-0.478627438,-0.706627483,5.931628732,6.902130491
17,200,-0.487849107,-0.706680843,5.968622171,6.902346295
30,800,-0.486912677,-0.707295851,5.964865613,6.904833577
22,300,-0.49173821,-0.707311937,5.984223613,6.904898633
27,1000,-0.491403903,-0.707324693,5.982882512,6.90495022
37,700,-0.49991105,-0.707473453,6.017009591,6.905551854
19,200,-0.498254363,-0.707474839,6.010363664,6.905557459
38,500,-0.495460813,-0.707564186,5.999157122,6.905918807
17,400,-0.48890831,-0.707671489,5.972871247,6.906352771
31,300,-0.494795625,-0.707677915,5.99648867,6.906378763
16,700,-0.482165877,-0.707739151,5.945823454,6.906626418
33,500,-0.491024336,-0.707748971,5.981359851,6.906666136
36,300,-0.493976324,-0.707858076,5.993201979,6.907107389
26,100,-0.491285677,-0.707910933,5.982408238,6.907321158
16,300,-0.497741993,-0.708400171,6.008308254,6.909299789
36,100,-0.48939247,-0.708430741,5.974813494,6.909423425
21,100,-0.502751729,-0.708446237,6.028405196,6.909486094
17,900,-0.489249641,-0.708528325,5.974240525,6.909818081
38,600,-0.482220748,-0.708573967,5.946043574,6.910002673
22,600,-0.485277553,-0.708747535,5.958306183,6.910704637
34,200,-0.493180335,-0.708766296,5.990008806,6.910780511
35,800,-0.495592797,-0.708914006,5.999686587,6.911377898
36,800,-0.485527098,-0.708948099,5.959307253,6.911515781
39,900,-0.497705051,-0.708979114,6.008160055,6.911641214
22,100,-0.488133909,-0.709061627,5.969764677,6.911974922
14,900,-0.476608736,-0.709063094,5.923530551,6.911980853
13,800,-0.477259246,-0.709158432,5.926140124,6.91236643
22,700,-0.494569075,-0.709216089,5.995579846,6.912599613
35,500,-0.493722005,-0.709256038,5.992181757,6.912761182
16,500,-0.477947272,-0.709434714,5.928900194,6.913483803
28,400,-0.495161539,-0.709450879,5.997956563,6.913549178
16,400,-0.490641759,-0.709477203,5.979825114,6.91365564
22,800,-0.488548758,-0.709558029,5.971428876,6.913982526
36,500,-0.505227015,-0.709574749,6.038335001,6.914050145
40,1000,-0.492095201,-0.709688691,5.98565571,6.914510964
23,1000,-0.492671514,-0.709857863,5.987967634,6.915195146
36,700,-0.496180937,-0.710248561,6.002045957,6.916775249
25,1000,-0.49413771,-0.710275587,5.993849393,6.916884554
21,900,-0.49179871,-0.710283235,5.984466313,6.916915482
22,900,-0.490388344,-0.710292883,5.978808521,6.916954503
30,700,-0.50055419,-0.710366975,6.019589599,6.917254152
40,100,-0.491798781,-0.710401498,5.984466595,6.917393777
38,1000,-0.495022099,-0.710781451,5.997397188,6.918930422
39,1000,-0.498605916,-0.710837066,6.011773948,6.919155348
31,600,-0.490900016,-0.710861054,5.980861132,6.919252361
26,400,-0.497057451,-0.711094376,6.005562161,6.920195987
16,200,-0.485780329,-0.711129921,5.960323109,6.920339745
20,400,-0.484516121,-0.711151898,5.955251642,6.920428626
30,300,-0.48924492,-0.711253777,5.974221583,6.920840658
17,1000,-0.488525232,-0.711369212,5.971334502,6.92130751
29,600,-0.495406699,-0.711398325,5.99894004,6.921425253
38,800,-0.49218061,-0.711565251,5.985998334,6.922100352
33,1000,-0.485445802,-0.711813532,5.958981128,6.923104478
21,500,-0.488725372,-0.712061951,5.972137378,6.924109161
28,200,-0.483001929,-0.712133449,5.949177342,6.924398321
21,600,-0.489239202,-0.712143009,5.974198648,6.924436987
33,900,-0.500844292,-0.712218663,6.020753367,6.924742953
15,900,-0.499201907,-0.712288917,6.014164811,6.925027084
27,900,-0.499066207,-0.712581513,6.013620438,6.92621043
20,200,-0.496394652,-0.712638281,6.002903288,6.926440019
16,100,-0.485730823,-0.712846246,5.960124512,6.927281094
38,100,-0.498436387,-0.712848789,6.011093868,6.927291377
18,200,-0.490226372,-0.712944213,5.978158755,6.927677302
16,600,-0.487660581,-0.712999279,5.967865885,6.927900007
39,300,-0.490222587,-0.713033434,5.978143571,6.928038141
18,800,-0.491094391,-0.713060143,5.981640879,6.92814616
39,600,-0.490702244,-0.71316235,5.980067753,6.928559518
23,300,-0.501056355,-0.713168326,6.021604073,6.928583687
19,600,-0.488083725,-0.713175876,5.969563362,6.928614221
14,700,-0.47632275,-0.713200787,5.922383297,6.928714968
34,600,-0.499158892,-0.713359186,6.013992252,6.929355582
29,700,-0.496417792,-0.714038949,6.002996118,6.932104755
27,600,-0.49972461,-0.714039841,6.016261674,6.932108363
37,600,-0.502030754,-0.714072724,6.025512949,6.932241352
18,1000,-0.488298321,-0.714566389,5.970424229,6.934237884
19,700,-0.484486462,-0.714636109,5.955132663,6.934519854
25,800,-0.505689241,-0.714762372,6.040189256,6.935030502
35,1000,-0.501499324,-0.71477025,6.023381079,6.935062362
28,700,-0.496981013,-0.715031969,6.005255523,6.936120834
38,200,-0.490765254,-0.715145027,5.980320521,6.936578076
31,800,-0.498319371,-0.715411797,6.010624448,6.937656975
25,700,-0.505703618,-0.715582669,6.040246929,6.938348035
29,900,-0.486104647,-0.715734766,5.961624135,6.938963165
18,900,-0.495366112,-0.71575982,5.998777221,6.93906449
32,500,-0.491086936,-0.715850807,5.981610977,6.939432472
14,200,-0.484979895,-0.716211149,5.957112106,6.940889806
33,300,-0.50131844,-0.716236857,6.022655447,6.940993774
13,100,-0.499101371,-0.716307791,6.013761502,6.941280656
29,100,-0.500662663,-0.716492875,6.020024746,6.942029192
40,200,-0.495888845,-0.716539959,6.000874208,6.942219615
26,200,-0.506825574,-0.716567918,6.044747745,6.942332689
18,400,-0.497018181,-0.716601906,6.005404625,6.942470146
25,600,-0.495392535,-0.716705937,5.998883221,6.94289088
20,600,-0.491523892,-0.716840146,5.983363859,6.943433665
35,300,-0.505975242,-0.716869372,6.041336569,6.943551862
13,500,-0.500149101,-0.716911724,6.017964553,6.943723147
25,200,-0.499277022,-0.717182407,6.014466139,6.944817874
25,400,-0.491166269,-0.717206582,5.981929225,6.944915644
17,500,-0.499172601,-0.717315984,6.014047249,6.9453581
15,300,-0.48784357,-0.717415168,5.968599961,6.945759231
33,800,-0.50568102,-0.717741327,6.040156276,6.947078319
32,400,-0.497455697,-0.717794505,6.007159753,6.947293387
24,600,-0.496327885,-0.717905071,6.002635447,6.947740551
36,900,-0.506786132,-0.718468197,6.044589518,6.950018005
24,300,-0.498473325,-0.718511161,6.011242046,6.950191765
33,600,-0.50056414,-0.718723503,6.019629515,6.951050543
28,1000,-0.500843904,-0.718789504,6.020751809,6.951317471
20,500,-0.499466313,-0.718967849,6.015225496,6.952038752
35,400,-0.506175021,-0.71909017,6.042137999,6.952533459
40,700,-0.498340302,-0.719267429,6.010708418,6.953250348
18,600,-0.49721904,-0.719300095,6.006210385,6.953382461
40,300,-0.512435113,-0.71996651,6.067250842,6.956077649
34,300,-0.493423512,-0.720003609,5.990984332,6.95622769
37,400,-0.501233664,-0.720058271,6.022315361,6.956448758
32,600,-0.504054094,-0.720084092,6.033629735,6.956553187
16,800,-0.500139673,-0.72021258,6.017926733,6.957072831
26,700,-0.504759739,-0.72034411,6.036460486,6.957604778
34,100,-0.506915629,-0.720361165,6.045109004,6.957673754
24,800,-0.501429739,-0.720412751,6.023101932,6.957882385
37,1000,-0.499089898,-0.720622351,6.013715479,6.958730071
27,800,-0.506561521,-0.720725561,6.043688472,6.959147484
17,100,-0.517169996,-0.720760565,6.086245194,6.959289055
22,200,-0.510504074,-0.721580231,6.059504333,6.962604037
21,1000,-0.504332284,-0.72158274,6.034745719,6.962614185
24,1000,-0.510555574,-0.72163747,6.059710926,6.962835529
31,900,-0.505215841,-0.721687837,6.038290175,6.96303923
33,200,-0.509405937,-0.721852312,6.05509907,6.963704417
15,500,-0.490844454,-0.722061921,5.98063824,6.964552138
12,100,-0.498087608,-0.722130051,6.009694713,6.964827678
14,600,-0.496501903,-0.722167147,6.003333536,6.964977707
17,600,-0.501046783,-0.722794936,6.021565672,6.96751668
11,300,-0.504440002,-0.723008501,6.035177838,6.968380403
33,100,-0.506806681,-0.723919622,6.04467195,6.972065258
26,900,-0.507149382,-0.723974754,6.046046726,6.972288229
40,600,-0.514887,-0.724266957,6.077086779,6.973469987
23,600,-0.509143517,-0.724484913,6.054046353,6.974351471
26,600,-0.514249783,-0.724674719,6.074530532,6.975119103
20,1000,-0.497743111,-0.724869673,6.008312739,6.975907557
36,1000,-0.513272352,-0.724897516,6.070609495,6.976020164
30,400,-0.510631308,-0.725056778,6.06001474,6.976664271
